Línea ATM,LINEA SISTAU,LM_ID,Línea SUBE,Empresa,CUIT,,Jurisdicción,Grupo tarifario,Grupo Empresario,Observación,codlin,parque
L159,159,126,LINEA 159,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,30522762179,TRUE,JN,S.G.I.,MOQSA,,01010001590,L159
L219,219,289,LINEA 219,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,30522762179,TRUE,PROV,U.P.A.,MOQSA,,06010002190,L219
L300,300,291,LINEA 300,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,30522762179,TRUE,PROV,U.P.A.,MOQSA,,06010003000,L300
L372,372,290,LINEA 372,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,30522762179,TRUE,PROV,U.P.A.,MOQSA,,06010003720,L372
L584QUI,QU584,288,LINEA 584,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,30522762179,TRUE,QUILMES,U.M.A.1.,MOQSA,,06016585840,L584QUI
L603BER,BE603,292,LINEA 603,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,30522762179,TRUE,BERAZATEGUI,U.M.A.1.,MOQSA,,06010916030,L603BER
L619BER,BE619,293,LINEA 619,MICRO OMNIBUS QUILMES S.A.C.I. Y F.,30522762179,FALSE,BERAZATEGUI,U.M.A.1.,MOQSA,,06010916190,L619BER
L051,51,149,LINEA 51,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,JN,S.G.I.,SAN VICENTE,,01010000510,L051
L074,74,152,LINEA 74,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,JN,S.G.I.,SAN VICENTE,,01010000740,L074
L079,79,153,LINEA 79,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,JN,S.G.I.,SAN VICENTE,,01010000790,L079
L177,177,172,LINEA 177,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,JN,S.G.I.,SAN VICENTE,,01010001770,L177
L263A,263A,373,LINEA 263B,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,PROV,U.P.A.,SAN VICENTE,Letra de línea invertida en SUBE,06010002631,L263A
L370,370,215,LINEA 370,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,PROV,U.P.A.,SAN VICENTE,,06010003700,L370
L385,385,304,LINEA 385,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,PROV,U.P.A.,SAN VICENTE,,06010003850,L385
L388,388,306,LINEA 388,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,PROV,U.P.A.M,SAN VICENTE,,06010003880,L388
L403,403,305,LINEA 403,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,PROV,U.P.A.,SAN VICENTE,,06010004030,L403
L435,435,307,LINEA 435,SAN VICENTE S.A. DE TRANSPORTES,30545637045,TRUE,PROV,U.P.A.,SAN VICENTE,,06010004350,L435
L503SVI,SV503,363,LINEA 503C,SAN VICENTE S.A. DE TRANSPORTES,30545637045,FALSE,SAN VICENTE,U.M.A.2.,SAN VICENTE,,06017785030,L503SVI
L275,275,258,LINEA 275,FUERTE BARRAGAN S.A.T.I.C.I.,30545666592,TRUE,PROV,U.P.A.,EX Quilmes,,06010002750,L275
L506LPL,LP506,848,LINEA 506F,FUERTE BARRAGAN S.A.T.I.C.I.,30545666592,FALSE,LA PLATA,U.M.A.2.,EX Quilmes,,06014415060,L506LPL
L090,90,622,LINEA 90,M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR,30545775782,TRUE,JN,D.F.,Nueva Metropol,,01010000900,L090
L151,151,47,LINEA 151,M.O.D.O. S.A. DE TRANSPORTE AUTOMOTOR,30545775782,FALSE,JN,D.F.,Nueva Metropol,,01010001510,L151
L100,100,75,LINEA 100,TRANSPORTES AUTOMOTORES RIACHUELO S.A.,30545775855,TRUE,JN,S.G.I.,DOTA,,01010001000,L100
L115,115,46,LINEA 115,TRANSPORTES AUTOMOTORES RIACHUELO S.A.,30545775855,TRUE,JN,D.F.,DOTA,,01010001150,L115
L134,134,79,LINEA 134,TRANSPORTES AUTOMOTORES RIACHUELO S.A.,30545775855,TRUE,JN,S.G.I.,DOTA,,01010001340,L134
L446,446,402,LINEA 446,TRANSPORTES AUTOMOTORES RIACHUELO S.A.,30545775855,FALSE,PROV,U.P.A.,DOTA,,06010004460,L446
L326,326,385,LINEA 326,COMPAÑIA  DE TRANSPORTE VECINAL S.A.,30546223228,TRUE,PROV,U.P.A.,Nueva Metropol,,06010003260,L326
L386,386,634,LINEA 386,COMPAÑIA  DE TRANSPORTE VECINAL S.A.,30546223228,FALSE,PROV,U.P.A.,Nueva Metropol,,06010003860,L386
L176,176,135,LINEA 176,EXPRESO GENERAL SARMIENTO S.A.,30546223465,TRUE,JN,S.G.I.,Nueva Metropol,,01010001760,L176
L448,448,397,LINEA 448,EXPRESO GENERAL SARMIENTO S.A.,30546223465,FALSE,PROV,U.P.A.,Nueva Metropol,,06010004480,L448
L098,98,119,LINEA 98,EXPRESO QUILMES S.A.,30546223910,FALSE,JN,S.G.I.,EX Quilmes,,01010000980,L098
L172,172,134,LINEA 172,LA CABAÑA S.A.,30546224380,TRUE,JN,S.G.I.,La Cabaña,,01010001720,L172
L174,174,916,LINEA 174 BS AS,LA CABAÑA S.A.,30546224380,TRUE,JN,S.G.I.,La Cabaña,,01010001740,L174
L242,242,389,LINEA 242,LA CABAÑA S.A.,30546224380,TRUE,PROV,U.P.A.,La Cabaña,,06010002420,L242
L298,298,391,LINEA 298,LA CABAÑA S.A.,30546224380,TRUE,PROV,U.P.A.,La Cabaña,,06010002980,L298
L317,317,917,LINEA 317 BS AS,LA CABAÑA S.A.,30546224380,TRUE,PROV,U.P.A.,La Cabaña,,06010003170,L317
L624LMZ,LM624,398,LINEA 624,LA CABAÑA S.A.,30546224380,TRUE,LA MATANZA,U.M.A.1.,La Cabaña,,06014276240,L624LMZ
L635MOR,MO635,918,LINEA 635 BS AS,LA CABAÑA S.A.,30546224380,FALSE,MORON,U.M.A.1.,La Cabaña,,06015686350,L635MOR
L112,112,122,LINEA 112,EXPRESO LOMAS S.A.,30546224690,TRUE,JN,S.G.I.,El Puente,,01010001120,L112
L165,165,128,LINEA 165,EXPRESO LOMAS S.A.,30546224690,TRUE,JN,S.G.I.,El Puente,,01010001650,L165
L243,243,390,LINEA 243,EXPRESO LOMAS S.A.,30546224690,FALSE,PROV,U.P.A.,El Puente,,06010002430,L243
L102,102,156,LINEA 102,TRANSP. SGTO. CABRAL,30546225204,FALSE,JN,D.F.,,,01010001020,L102
L078,78,90,LINEA 78,LOS CONSTITUYENTES S.A.T.,30546225751,TRUE,JN,S.G.I.,ARGOS,,01010000780,L078
L087,87,91,LINEA 87,LOS CONSTITUYENTES S.A.T.,30546225751,TRUE,JN,S.G.I.,ARGOS,,01010000870,L087
L111,111,93,LINEA 111,LOS CONSTITUYENTES S.A.T.,30546225751,TRUE,JN,S.G.I.,ARGOS,,01010001110,L111
L127,127,95,LINEA 127,LOS CONSTITUYENTES S.A.T.,30546225751,FALSE,JN,S.G.I.,ARGOS,,01010001270,L127
L256,256,433,LINEA 256,LA FLOR DE LUJAN SRL,30546226677,FALSE,PROV,U.P.A.M,,,06010002560,L256
L007,7,56,LINEA 7,TRANSP. AUTOMOTORES 12 DE OCTUBRE S.A.C.,30546227975,FALSE,JN,D.F.,DOTA,,01010000070,L007
L063,63,74,LINEA 63,BERNARDINO RIVADAVIA S.A.T.A.,30546228106,TRUE,JN,S.G.I.,Rivadavia,,01010000630,L063
L113,113,76,LINEA 113,BERNARDINO RIVADAVIA S.A.T.A.,30546228106,FALSE,JN,S.G.I.,Rivadavia,,01010001130,L113
L045,45,101,LINEA 45,MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.,30546228270,TRUE,JN,S.G.I.,MO 45,,01010000450,L045
L154,154,125,LINEA 154,MICROOMNIBUS CUARENTA Y CINCO S.A.C.I.F.,30546228270,FALSE,JN,S.G.I.,MO 45,,01010001540,L154
L324,324,285,LINEA 324,MICRO OMNIBUS PRIMERA JUNTA S.A,30546228890,TRUE,PROV,U.P.A.,Primera Junta,,06010003240,L324
L501FVA,FV501,357,LINEA 501E,MICRO OMNIBUS PRIMERA JUNTA S.A,30546228890,TRUE,FLORENCIO VARELA,U.M.A.1.,Primera Junta,,06012745010,L501FVA
L504FVA,FV504,366,LINEA 504C,MICRO OMNIBUS PRIMERA JUNTA S.A,30546228890,TRUE,FLORENCIO VARELA,U.M.A.1.,Primera Junta,,06012745040,L504FVA
L583QUI,QU583,420,LINEA 583,MICRO OMNIBUS PRIMERA JUNTA S.A,30546228890,FALSE,QUILMES,U.M.A.1.,Primera Junta,,06016585830,L583QUI
