;PROVINCIA;MUNICIPIO;CUIT;RazonSocial;Linea;AMBA;REC. URB;KM. URB;PAX. URB;Facto rCorr ecKM;Facto r Corre c Rec;Facto r Corre c Pax;Cert Cont;Libro IVA;DDJJ IVA;"Art. 6º Res.
337/
04";"Art. 6º Res.
680/
05";"Art. 7º Res.
680/
05";Cum ple Per miso;Anex o V;Regi men Tarif ario;Cum ple Inc. a;Cum ple Inc. b;Está en Gas oil;"UTA
Cum ple";"CUIT
Valid a";"Res 1 /
12";"Res 422
(Estr uctur a de Cost os)";Habilita do a cobrar;Unid. Habilit en Gasoil;"Unid. NO
Habilit en Gasoil";Litros Go CNRT;Unidad es Compu tables CCP;Agentes computa bles;FC Final
Diciembre (2013);BUENOS AIRES;ALMIRANTE BROWN;30-54563704-5;EMPRESA SAN VICENTE S. A. DE TRANSPORTES;AB506;SI;9.253.279,00;3.015.930;8.784.021;1,000;0,997;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;36,44;0,00;127.511,35;36,44;109,33;1,00000
Diciembre (2013);BUENOS AIRES;ALMIRANTE BROWN;30-54563704-5;EMPRESA SAN VICENTE S. A. DE TRANSPORTES;AB521;SI;527.749,31;237.200;518.847;1,000;0,997;0,974;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;4,56;0,00;10.028,65;4,56;13,67;1,00000
Diciembre (2013);BUENOS AIRES;ALMIRANTE BROWN;30-64701983-4;TRANSPORTE DEL SUR SRL;AB515;SI;4.131.620,00;1.665.302;4.083.993;0,824;0,994;0,966;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;24,00;0,00;36.500,00;24,00;58,00;1,00000
Diciembre (2013);BUENOS AIRES;ALMIRANTE BROWN;30-68586179-4;EMPRESA 501 S.A.;AB501;SI;11.954.610,00;3.027.838;11.177.186;1,000;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;46,00;0,00;94.000,00;46,00;138,00;1,00000
Diciembre (2013);BUENOS AIRES;ALMIRANTE BROWN;33-54634565-9;EXPRESO VILLA GALICIA SAN JOSE S.A.;AB510;SI;1.946.367,75;717.323;1.960.280;1,000;1,000;0,953;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;9,00;0,00;23.758,00;9,00;25,37;1,00000
Diciembre (2013);BUENOS AIRES;ALMIRANTE BROWN;33-54661071-9;GENERAL TOMAS GUIDO S.A.C.I.F.;AB505;SI;6.465.323,50;2.865.829;6.376.679;0,616;0,861;0,861;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;31,00;0,00;66.926,00;28,00;84,01;1,00000
Diciembre (2013);BUENOS AIRES;ALMIRANTE BROWN;33-62074555-9;EXPRESO ARSENO S.R.L;AB514;SI;10.925.831,00;4.401.013;9.771.859;0,856;1,000;1,000;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;58,00;0,00;151.458,00;58,00;153,00;1,00000
Diciembre (2013);BUENOS AIRES;ARRECIFES;30-71042603-8;TRANSPORTE MD S.A.;501;NO;545.429,44;195.585;313.071;1,000;0,733;0,776;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;2,00;0,00;5.768,00;2,00;5,00;1,00000
Diciembre (2013);BUENOS AIRES;AVELLANEDA;33-54661071-9;GENERAL TOMAS GUIDO S.A.C.I.F.;570;SI;6.960.909,00;3.140.238;6.264.061;0,297;0,765;0,765;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;35,18;0,00;36.798,40;31,77;95,32;1,00000
Diciembre (2013);BUENOS AIRES;AVELLANEDA;33-54661071-9;GENERAL TOMAS GUIDO S.A.C.I.F.;570R4;SI;3.723.791,88;1.748.676;3.295.390;0,297;0,180;0,194;SI;SI;SI;NO;NO;NO;SI;SI;SI;NA;SI;SI;SI;SI;SI;SI;SI;16,82;0,00;20.491,60;15,20;45,59;1,00000
